ele, v
Ag,10.2733333333333
Al,9.99314814814815
Ar,28.5342857142857
As,13.0982517482517
Au,10.2055440414508
B,4.62008547008547
Ba,39.24
Be,4.87145945945946
Bi,21.3244897959184
Br,25.611858974359
C,5.31466814159292
Ca,25.858064516129
Cd,12.9942196531792
Ce,21.0074962518741
Cl,22.7262820512821
Co,6.62168539325843
Cr,7.2317107093185
Cs,69.95
Cu,7.09151785714286
Dy,19.0281030444965
Er,18.4817679558011
Eu,28.8897338403042
F,12.6235215946844
Fe,7.10521628498728
Ga,11.7969543147208
Gd,19.9302915082383
Ge,13.6447368421053
H,14.1967605633803
He,31.7666666666667
Hf,13.6251908396947
Hg,14.7492647058824
Ho,18.7420454545455
I,25.6890688259109
In,15.7072503419973
Ir,8.54222222222222
K,45.4674418604651
Kr,32.2307692307692
La,22.5137763371151
Li,13.0924528301887
Lu,17.7815040650407
Mg,13.9724137931034
Mn,7.39407806191117
Mo,9.40588235294118
N,17.2922222222222
Na,23.700824742268
Nb,11.0602380952381
Nd,20.6057142857143
Ne,16.8191666666667
Ni,6.59662921348315
O,14.0345614035088
Os,8.41592920353982
P,17.0185714285714
Pa,15
Pb,18.1745614035088
Pd,8.86666666666667
Po,22.8260869565217
Pr,20.8134416543575
Pt,9.11635514018692
Rb,55.8627450980392
Re,8.86666666666667
Rh,8.29879032258065
Ru,8.2844262295082
S,15.4898550724638
Sb,18.3912386706949
Sc,14.9853333333333
Se,16.4843423799582
Si,12.0540772532189
Sm,19.9403183023873
Sn,16.258904109589
Sr,33.7
Ta,10.9004819277108
Tb,19.2169286577993
Tc,8.52173913043478
Te,20.4487179487179
Th,19.8323076923077
Ti,10.6208425720621
Tl,17.2464135021097
Tm,18.1065380493033
U,12.4819087572103
V,8.35114754098361
W,9.5259067357513
Xe,42.9084967320261
Y,19.8892617449664
Yb,24.7908309455587
Zn,9.15546218487395
Zr,14.055469953775
