p,x,y
1,27000,4500
2,31500,4500
3,36000,4500
4,40500,4500
5,45000,4500
6,49500,4500
7,54000,4500
8,58500,4500
9,63000,4500
10,67500,4500
11,72000,4500
12,22500,9000
13,27000,9000
14,31500,9000
15,36000,9000
16,40500,9000
17,45000,9000
18,49500,9000
19,54000,9000
20,58500,9000
21,63000,9000
22,67500,9000
23,72000,9000
24,76500,9000
25,18000,13500
26,22500,13500
27,27000,13500
28,31500,13500
29,36000,13500
30,40500,13500
31,45000,13500
32,49500,13500
33,54000,13500
34,58500,13500
35,63000,13500
36,67500,13500
37,72000,13500
38,76500,13500
39,81000,13500
40,13500,18000
41,18000,18000
42,22500,18000
43,27000,18000
44,31500,18000
45,36000,18000
46,40500,18000
47,45000,18000
48,49500,18000
49,54000,18000
50,58500,18000
51,63000,18000
52,67500,18000
53,72000,18000
54,76500,18000
55,81000,18000
56,85500,18000
57,9000,22500
58,13500,22500
59,18000,22500
60,22500,22500
61,27000,22500
62,31500,22500
63,36000,22500
64,40500,22500
65,45000,22500
66,49500,22500
67,54000,22500
68,58500,22500
69,63000,22500
70,67500,22500
71,72000,22500
72,76500,22500
73,81000,22500
74,85500,22500
75,90000,22500
76,9000,27000
77,13500,27000
78,18000,27000
79,22500,27000
80,27000,27000
81,31500,27000
82,36000,27000
83,40500,27000
84,45000,27000
85,49500,27000
86,54000,27000
87,58500,27000
88,63000,27000
89,67500,27000
90,72000,27000
91,76500,27000
92,81000,27000
93,85500,27000
94,90000,27000
95,4500,31500
96,9000,31500
97,13500,31500
98,18000,31500
99,22500,31500
100,27000,31500
101,31500,31500
102,36000,31500
103,40500,31500
104,45000,31500
105,49500,31500
106,54000,31500
107,58500,31500
108,63000,31500
109,67500,31500
110,72000,31500
111,76500,31500
112,81000,31500
113,85500,31500
114,90000,31500
115,94500,31500
116,4500,36000
117,9000,36000
118,13500,36000
119,18000,36000
120,22500,36000
121,27000,36000
122,31500,36000
123,36000,36000
124,40500,36000
125,45000,36000
126,49500,36000
127,54000,36000
128,58500,36000
129,63000,36000
130,67500,36000
131,72000,36000
132,76500,36000
133,81000,36000
134,85500,36000
135,90000,36000
136,94500,36000
137,4500,40500
138,9000,40500
139,13500,40500
140,18000,40500
141,22500,40500
142,27000,40500
143,31500,40500
144,36000,40500
145,40500,40500
146,45000,40500
147,49500,40500
148,54000,40500
149,58500,40500
150,63000,40500
151,67500,40500
152,72000,40500
153,76500,40500
154,81000,40500
155,85500,40500
156,90000,40500
157,94500,40500
158,4500,45000
159,9000,45000
160,13500,45000
161,18000,45000
162,22500,45000
163,27000,45000
164,31500,45000
165,36000,45000
166,40500,45000
167,45000,45000
168,49500,45000
169,54000,45000
170,58500,45000
171,63000,45000
172,67500,45000
173,72000,45000
174,76500,45000
175,81000,45000
176,85500,45000
177,90000,45000
178,94500,45000
179,4500,49500
180,9000,49500
181,13500,49500
182,18000,49500
183,22500,49500
184,27000,49500
185,31500,49500
186,36000,49500
187,40500,49500
188,45000,49500
189,49500,49500
190,54000,49500
191,58500,49500
192,63000,49500
193,67500,49500
194,72000,49500
195,76500,49500
196,81000,49500
197,85500,49500
198,90000,49500
199,94500,49500
200,4500,54000
201,9000,54000
202,13500,54000
203,18000,54000
204,22500,54000
205,27000,54000
206,31500,54000
207,36000,54000
208,40500,54000
209,45000,54000
210,49500,54000
211,54000,54000
212,58500,54000
213,63000,54000
214,67500,54000
215,72000,54000
216,76500,54000
217,81000,54000
218,85500,54000
219,90000,54000
220,94500,54000
221,4500,58500
222,9000,58500
223,13500,58500
224,18000,58500
225,22500,58500
226,27000,58500
227,31500,58500
228,36000,58500
229,40500,58500
230,45000,58500
231,49500,58500
232,54000,58500
233,58500,58500
234,63000,58500
235,67500,58500
236,72000,58500
237,76500,58500
238,81000,58500
239,85500,58500
240,90000,58500
241,94500,58500
242,9000,63000
243,13500,63000
244,18000,63000
245,22500,63000
246,27000,63000
247,31500,63000
248,36000,63000
249,40500,63000
250,45000,63000
251,49500,63000
252,54000,63000
253,58500,63000
254,63000,63000
255,67500,63000
256,72000,63000
257,76500,63000
258,81000,63000
259,85500,63000
260,90000,63000
261,9000,67500
262,13500,67500
263,18000,67500
264,22500,67500
265,27000,67500
266,31500,67500
267,36000,67500
268,40500,67500
269,45000,67500
270,49500,67500
271,54000,67500
272,58500,67500
273,63000,67500
274,67500,67500
275,72000,67500
276,76500,67500
277,81000,67500
278,85500,67500
279,90000,67500
280,13500,72000
281,18000,72000
282,22500,72000
283,27000,72000
284,31500,72000
285,36000,72000
286,40500,72000
287,45000,72000
288,49500,72000
289,54000,72000
290,58500,72000
291,63000,72000
292,67500,72000
293,72000,72000
294,76500,72000
295,81000,72000
296,85500,72000
297,18000,76500
298,22500,76500
299,27000,76500
300,31500,76500
301,36000,76500
302,40500,76500
303,45000,76500
304,49500,76500
305,54000,76500
306,58500,76500
307,63000,76500
308,67500,76500
309,72000,76500
310,76500,76500
311,81000,76500
312,22500,81000
313,27000,81000
314,31500,81000
315,36000,81000
316,40500,81000
317,45000,81000
318,49500,81000
319,54000,81000
320,58500,81000
321,63000,81000
322,67500,81000
323,72000,81000
324,76500,81000
325,27000,85500
326,31500,85500
327,36000,85500
328,40500,85500
329,45000,85500
330,49500,85500
331,54000,85500
332,58500,85500
333,63000,85500
334,67500,85500
335,72000,85500
336,36000,90000
337,40500,90000
338,45000,90000
339,49500,90000
340,54000,90000
341,58500,90000
342,63000,90000
